depth	latitude	longitude
12.4	42.608	13.118
10	42.854	13.197
9.4	41.855	14.265
8.5	42.637	13.23
9.3	42.634	13.333
22.5	38.187	14.865
6.8	43.309	12.533
9.9	43.306	12.548
8.5	43.308	12.546
7.8	43.908	11.829
8.5	43.45	12.508
7.2	43.311	12.541
6.3	43.309	12.529
7.8	43.302	12.54
11.2	46.418	10.572
10.2	43.228	12.599
11.7	46.418	10.583
12.1	46.416	10.57
16.4	40.527	15.894
9.9	43.018	12.793
19.4	38.988	16.429
22.7	43.226	13.273
10.7	43.459	12.572
10.5	43.46	12.571
17.1	43.097	13.521
10.1	43.309	12.54
5.3	43.364	12.612
23.9	43.225	13.269
6.4	43.311	12.534
8.1	43.31	12.544
10.7	42.619	13.07
10.3	43.224	12.668
10.1	43.314	12.685
9	43.343	12.539
3.4	43.58	12.56
9.3	43.306	12.533
118.6	38.739	15.397
9.1	42.562	13.311
6.9	43.424	12.551
11	43.259	12.865
10	37.304	14.367
11	39.282	16.681
10.9	42.983	13.07
10.8	43.192	13.061
9.6	43.455	12.378
11	42.44	13.349
7.8	43.456	12.389
9	43.427	12.544
8.4	43.504	12.365
20.2	41.703	14.952
9.2	43.422	12.547
9.5	43.422	12.544
14	44.127	10.694
22.8	37.064	14.446
97.2	38.761	15.686
8.7	41.766	13.566
8.9	43.422	12.548
10.9	43.165	12.771
15.9	44.099	10.704
9.4	44.151	10.701
10.1	44.152	10.682
7.2	43.507	12.421
10.4	43.308	11.257
12.7	44.148	10.702
13.4	44.121	10.681
14.1	44.126	10.681
10.3	44.133	10.675
10.9	42.896	12.981
9.1	44.169	10.71
11.9	44.132	10.698
9.1	44.152	10.697
13.4	44.122	10.699
12.7	44.146	10.697
10.5	42.902	13.008
10	42.704	12.506
10.9	42.919	13.004
9.1	43.436	12.522
10	46.4	10.561
10	42.542	13.266
9.8	39.858	16.222
7.1	43.403	13.004
8.4	39.891	15.999
8.4	43.302	12.544
34.3	42.228	13.88
7.9	43.658	12.238
4.1	43.586	12.534
10.7	37.191	15.195
10	44.476	12.294
10.9	42.995	12.943
4.7	43.596	12.559
9.1	42.229	13.198
8.7	43.308	12.537
10.1	38.14	15.154
7.4	39.884	16.011
7.8	43.305	12.539
9.8	43.305	12.539
10.1	43.476	12.606
7.6	43.434	12.472
13.8	43.46	12.758
7.8	43.307	12.545
9.9	43.477	12.612
9.3	43.304	12.551
7.2	43.367	12.602
12.1	42.838	13.222
7.1	40.644	15.449
21	43.067	13.48
12	46.734	11.118
8.3	43.344	12.565
9.9	43.304	12.544
9.9	43.304	12.544
9.3	43.306	12.544
11	44.396	7.27
11.7	42.568	13.148
8.6	43.148	12.803
9.6	42.711	13.088
5.4	43.335	12.54
6.4	43.375	12.604
4.7	38.02	15.075
9.9	43.299	12.543
4.5	43.072	12.481
47.5	37.592	14.22
7.8	44.333	9.93
12.2	43.397	12.663
7.9	43.405	12.498
15.6	43.025	12.979
9.5	40.68	15.655
6.3	43.398	12.496
9.1	38.017	15.066
3.2	43.25	11.419
10.3	42.9	13.046
5.2	43.312	12.547
9.7	43.327	12.665
9.3	43.392	12.488
8.5	42.8	13.25
7.3	43.113	12.893
10	38.557	13.148
10.6	45.65	7.653
6.5	43.33	12.556
12.2	42.644	13.051
10.1	43.48	12.525
10.5	45.857	10.537
14.8	43.301	12.794
27.3	44.128	12.096
0.1	43.593	12.543
6.6	43.378	12.508
7.2	43.31	12.556
9.6	39.301	16.542
9.8	42.43	13.079
4.9	43.342	12.826
10	42.792	13.252
22.7	43.814	12.094
9	42.793	13.07
7.9	43.456	12.492
2.4	43.445	12.426
9.6	43.316	12.387
6.6	42.952	12.928
7	43.31	12.555
10	39.105	17.082
3.4	43.458	12.37
7.4	42.959	13.234
9.2	37.875	15.495
8.1	43.336	12.554
8.7	43.434	12.457
18.4	37.05	16.246
36.3	43.323	13.192
11.1	43.251	12.853
8.2	43.314	12.56
6.4	43.363	12.611
8.3	43.31	12.554
13.4	38.143	15.107
7.6	43.441	12.441
9.5	43.301	12.54
9.6	43.47	12.51
8.6	43.298	12.547
10.6	43.389	12.56
3.5	43.443	12.406
8.2	43.309	12.546
8.8	42.826	13.032
11.9	42.252	13.588
9.6	43.304	12.551
7.8	43.464	12.476
9.1	43.303	12.55
9.2	43.236	12.737
8.3	43.422	12.504
10	39.941	15.965
5.2	43.431	12.555
6.3	43.355	12.518
12.3	45.218	7.41
11	44.144	10.692
6.7	43.391	12.603
8.5	43.344	12.606
4.1	43.457	12.764
7	43.432	12.486
13.9	43.003	12.992
8	46.023	10.455
10.4	43.273	11.378
9.5	43.623	12.158
8.7	43.92	11.834
11.9	42.446	13.209
10.1	42.846	12.948
15.4	43.301	12.575
9.1	43.471	12.503
3.3	43.456	12.364
8.9	43.503	12.302
6.5	43.342	12.546
4.3	43.395	12.564
9	43.333	12.551
11.2	43.041	12.998
26	41.823	14.26
10.4	43.336	12.549
28.1	37.633	15.314
6.6	43.365	12.607
8.4	43.025	12.544
10	43.051	12.783
9.5	43.327	12.551
8.5	43.301	12.553
7.7	43.307	12.538
6.7	43.368	12.61
6.6	43.342	12.542
8.7	43.407	12.602
14.2	38.149	15.123
8.9	43.334	12.548
7.5	41.667	13.614
8.7	42.759	13.208
9.7	43.252	12.634
9.7	42.792	12.941
9.5	43.344	12.578
9.5	43.444	12.435
14.3	43.232	13.089
6.3	46.346	12.9
9.6	43.3	12.538
9.8	43.3	12.542
9	40.641	15.704
6.5	41.622	15.355
8.6	45.612	10.324
10.7	43.826	8.163
9.9	43.541	12.574
11.1	37.716	15.116
6.7	43.305	12.548
25.2	43.112	13.515
8.4	43.135	11.046
117.2	38.37	15.445
10	44.012	11.086
4.9	43.362	12.612
14.1	43.449	12.742
8.7	43.443	12.437
15	44.294	7.334
14.4	43.066	12.986
10	43.476	12.543
10.8	43.129	12.984
7.7	43.396	12.501
10.6	43.133	12.986
31.4	37.839	15.357
6.6	43.404	12.488
8.1	43.917	11.621
5.7	43.447	12.412
10	45.389	6.581
160.6	38.732	15.727
8	43.438	12.428
7.7	43.445	12.438
6	43.442	12.435
16.1	43.572	12.814
10.2	42.846	12.829
8.5	43.467	12.511
10.2	42.924	12.872
10.1	42.923	12.872
9.9	43.304	12.55
8.7	43.42	12.541
9.4	43.324	12.565
10	42.463	9.768
8.9	43.332	12.549
14.5	44.129	10.681
16.9	44.186	10.685
10.5	46.04	7.784
8.8	43.03	12.553
11.2	42.471	13.29
5.9	43.377	12.607
16	44.501	6.704
8.1	41.692	12.999
9.6	42.627	13.05
8.3	42.618	13.026
73.9	38.577	15.432
8	42.619	13.032
5.8	43.422	12.548
9.9	42.789	12.947
10	38.99	15.129
40.9	38.917	15.987
7.3	43.302	12.539
6.7	45.855	10.066
6.5	42.899	13.099
9	41.984	13.312
9.1	41.979	13.31
7.5	46.456	13.373
7	46.457	13.368
11.1	42.928	12.861
11.9	42.943	12.953
23.4	42.732	13.635
13.1	43.039	12.985
22.4	42.738	13.633
6.8	43.306	12.547
10.9	39.644	15.458
11.1	42.944	12.942
8.7	44.523	8.428
9.8	43.188	12.631
10.4	43.579	12.408
28.1	40.65	15.726
7.7	38.264	15.667
10	44.863	6.659
11.5	38.158	15.119
10.8	42.933	12.949
8.7	40.648	15.696
7.2	43.454	12.38
12.2	38.158	15.119
8.4	43.949	11.76
9.9	38.159	15.109
13.3	38.155	15.12
11.1	38.162	15.117
9.1	43.307	12.55
10	43.307	12.549
9.4	43.161	12.547
8.4	43.304	12.554
7.4	44.499	6.671
11	44.541	6.736
9.4	43.301	12.55
8.4	43.304	12.552
11.8	42.944	12.98
9.8	44.27	10.594
4.4	43.415	12.433
40.4	38.921	15.995
9.5	43.356	12.537
6.8	42.783	12.569
18.6	43.189	12.855
18	43.188	12.853
10.1	42.863	12.925
11.1	42.576	13.151
12.7	42.52	13.284
10.9	42.843	12.944
12.4	42.562	12.912
17.5	43.173	13.22
10.5	43.697	12.143
9.9	42.782	12.564
6.6	37.614	14.939
9.8	43.25	12.639
9.4	40.5	15.181
14.1	44.135	10.686
11.7	45.164	7.168
7.6	46.136	10.477
9.7	43.304	12.546
13.8	42.562	13.239
10	43.828	12.134
6.5	47.168	11.564
13.4	43.393	12.768
10.1	40.642	15.716
9.4	43.303	12.548
9.9	43.463	12.509
8	43.409	12.535
7	43.422	12.536
7.4	39.934	15.904
10.5	38.277	15.725
12.4	43.264	12.755
3.7	42.72	12.526
10.9	44.198	10.269
10	46.003	7.729
10.9	43.298	11.248
19.9	43.424	12.993
5.7	43.36	12.618
12.7	42.56	12.989
15.6	42.658	13.578
7.9	43.304	12.558
24.3	42.731	13.645
17	43.48	12.708
9.9	43.478	12.412
23.2	42.743	13.647
24.9	42.722	13.66
23.5	42.736	13.64
7.5	46.696	9.577
9.2	43.309	12.552
17.2	45.096	7.243
8.8	41.756	13.556
20.5	40.66	15.714
13.3	44.351	7.308
14.5	44.349	7.312
12.1	44.354	7.307
13.4	44.347	7.301
13	43.065	12.948
11.6	42.564	13.285
10.1	43.307	12.552
8.8	44.412	10.289
10.7	38.387	15.994
8.3	43.937	11.869
12.4	42.564	13.312
9.8	43.304	12.553
19.9	39.159	16.349
8.1	43.436	13.002
8	43.934	11.874
10	43.144	12.793
5	43.283	11.43
8.8	43.394	12.48
14.8	43.104	13.007
5.6	37.862	14.923
20.6	39.008	16.041
11.6	42.615	13.145
5.5	39.899	16.124
13.3	39.309	16.635
10.1	38.17	15.864
12.5	44.157	10.704
10.8	41.932	14.051
13.4	40.226	15.945
10.9	42.576	13.15
10	44.68	6.801
9.1	43.481	12.37
6.7	43.361	12.623
6.4	46.062	7.51
9.9	43.144	12.792
8.7	43.504	12.428
9.7	43.047	12.791
8.8	43.303	12.549
11	43.172	13
9.5	43.788	11.734
7.4	43.363	12.606
11.1	40.644	15.718
22.2	43.019	12.897
10.8	42.378	13.33
9.7	43.085	12.566
8	43.42	12.548
8.2	41.963	15.869
23.5	43.142	13.461
5.8	43.471	12.451
9.2	43.424	12.539
9	46.09	7.516
15.5	44.129	10.68
7.7	43.487	12.415
8.3	43.495	12.403
11.1	42.566	13.357
14.5	42.663	13.581
15.5	44.139	10.687
14.7	44.143	10.674
10.2	43.439	12.486
7.8	42.603	13.348
10	38.555	14.907
80.5	38.732	15.516
6.9	42.772	13.252
11.3	42.581	13.165
8.8	46.12	7.525
8.7	43.379	12.543
5.4	43.439	12.417
12	43.069	12.994
11	43.419	11.974
4.3	39.91	16.118
11.2	43.422	11.989
9.6	42.345	13.488
7.5	43.307	12.541
12.1	42.569	13.354
9.5	43.344	12.565
10.7	42.902	13.168
8.8	44.152	10.681
12	42.907	13.167
189.2	38.707	15.574
7.4	46.037	10.604
11	44.138	7.801
10.1	39.987	15.563
4.4	43.386	12.435
7.9	43.947	11.827
8.4	44.145	10.491
9.8	43.307	12.541
10.3	41.483	14.614
9.3	43.302	12.55
9.4	43.429	12.563
9.7	44.327	8.26
21	38.602	16.235
21.7	37.31	16.389
10.9	44.482	6.686
8.6	43.483	12.439
3.4	43.581	12.546
6.1	43.372	12.615
