# latitude	longitude	depth =
43.43	12.698	10.8
42.608	13.118	12.4
42.854	13.197	10
41.855	14.265	9.4
42.637	13.23	8.5
42.634	13.333	9.3
38.187	14.865	22.5
43.309	12.533	6.8
43.306	12.548	9.9
43.308	12.546	8.5
43.908	11.829	7.8
43.45	12.508	8.5
43.311	12.541	7.2
43.309	12.529	6.3
43.302	12.54	7.8
46.418	10.572	11.2
43.228	12.599	10.2
46.418	10.583	11.7
46.416	10.57	12.1
40.527	15.894	16.4
43.018	12.793	9.9
38.988	16.429	19.4
43.226	13.273	22.7
43.459	12.572	10.7
43.46	12.571	10.5
43.097	13.521	17.1
43.309	12.54	10.1
43.364	12.612	5.3
43.225	13.269	23.9
43.311	12.534	6.4
43.31	12.544	8.1
42.619	13.07	10.7
43.224	12.668	10.3
43.314	12.685	10.1
43.343	12.539	9
43.58	12.56	3.4
43.306	12.533	9.3
38.739	15.397	118.6
42.562	13.311	9.1
43.424	12.551	6.9
43.259	12.865	11
37.304	14.367	10
39.282	16.681	11
42.983	13.07	10.9
43.192	13.061	10.8
43.455	12.378	9.6
42.44	13.349	11
43.456	12.389	7.8
43.427	12.544	9
43.504	12.365	8.4
41.703	14.952	20.2
43.422	12.547	9.2
43.422	12.544	9.5
44.127	10.694	14
37.064	14.446	22.8
38.761	15.686	97.2
41.766	13.566	8.7
43.422	12.548	8.9
43.165	12.771	10.9
44.099	10.704	15.9
44.151	10.701	9.4
44.152	10.682	10.1
43.507	12.421	7.2
43.308	11.257	10.4
44.148	10.702	12.7
44.121	10.681	13.4
44.126	10.681	14.1
44.133	10.675	10.3
42.896	12.981	10.9
44.169	10.71	9.1
44.132	10.698	11.9
44.152	10.697	9.1
44.122	10.699	13.4
44.146	10.697	12.7
42.902	13.008	10.5
42.704	12.506	10
42.919	13.004	10.9
43.436	12.522	9.1
46.4	10.561	10
42.542	13.266	10
39.858	16.222	9.8
43.403	13.004	7.1
39.891	15.999	8.4
43.302	12.544	8.4
42.228	13.88	34.3
43.658	12.238	7.9
43.586	12.534	4.1
37.191	15.195	10.7
44.476	12.294	10
42.995	12.943	10.9
43.596	12.559	4.7
42.229	13.198	9.1
43.308	12.537	8.7
38.14	15.154	10.1
39.884	16.011	7.4
43.305	12.539	7.8
43.305	12.539	9.8
43.476	12.606	10.1
43.434	12.472	7.6
43.46	12.758	13.8
43.307	12.545	7.8
43.477	12.612	9.9
43.304	12.551	9.3
43.367	12.602	7.2
42.838	13.222	12.1
40.644	15.449	7.1
43.067	13.48	21
46.734	11.118	12
43.344	12.565	8.3
43.304	12.544	9.9
43.304	12.544	9.9
43.306	12.544	9.3
44.396	7.27	11
42.568	13.148	11.7
43.148	12.803	8.6
42.711	13.088	9.6
43.335	12.54	5.4
43.375	12.604	6.4
38.02	15.075	4.7
43.299	12.543	9.9
43.072	12.481	4.5
37.592	14.22	47.5
44.333	9.93	7.8
43.397	12.663	12.2
43.405	12.498	7.9
43.025	12.979	15.6
40.68	15.655	9.5
43.398	12.496	6.3
38.017	15.066	9.1
43.25	11.419	3.2
42.9	13.046	10.3
43.312	12.547	5.2
43.327	12.665	9.7
43.392	12.488	9.3
42.8	13.25	8.5
43.113	12.893	7.3
38.557	13.148	10
45.65	7.653	10.6
43.33	12.556	6.5
42.644	13.051	12.2
43.48	12.525	10.1
45.857	10.537	10.5
43.301	12.794	14.8
44.128	12.096	27.3
43.593	12.543	0.1
43.378	12.508	6.6
43.31	12.556	7.2
39.301	16.542	9.6
42.43	13.079	9.8
43.342	12.826	4.9
42.792	13.252	10
43.814	12.094	22.7
42.793	13.07	9
43.456	12.492	7.9
43.445	12.426	2.4
43.316	12.387	9.6
42.952	12.928	6.6
43.31	12.555	7
39.105	17.082	10
43.458	12.37	3.4
42.959	13.234	7.4
37.875	15.495	9.2
43.336	12.554	8.1
43.434	12.457	8.7
37.05	16.246	18.4
43.323	13.192	36.3
43.251	12.853	11.1
43.314	12.56	8.2
43.363	12.611	6.4
43.31	12.554	8.3
38.143	15.107	13.4
43.441	12.441	7.6
43.301	12.54	9.5
43.47	12.51	9.6
43.298	12.547	8.6
43.389	12.56	10.6
43.443	12.406	3.5
43.309	12.546	8.2
42.826	13.032	8.8
42.252	13.588	11.9
43.304	12.551	9.6
43.464	12.476	7.8
43.303	12.55	9.1
43.236	12.737	9.2
43.422	12.504	8.3
39.941	15.965	10
43.431	12.555	5.2
43.355	12.518	6.3
45.218	7.41	12.3
44.144	10.692	11
43.391	12.603	6.7
43.344	12.606	8.5
43.457	12.764	4.1
43.432	12.486	7
43.003	12.992	13.9
46.023	10.455	8
43.273	11.378	10.4
43.623	12.158	9.5
43.92	11.834	8.7
42.446	13.209	11.9
42.846	12.948	10.1
43.301	12.575	15.4
43.471	12.503	9.1
43.456	12.364	3.3
43.503	12.302	8.9
43.342	12.546	6.5
43.395	12.564	4.3
43.333	12.551	9
43.041	12.998	11.2
41.823	14.26	26
43.336	12.549	10.4
37.633	15.314	28.1
43.365	12.607	6.6
43.025	12.544	8.4
43.051	12.783	10
43.327	12.551	9.5
43.301	12.553	8.5
43.307	12.538	7.7
43.368	12.61	6.7
43.342	12.542	6.6
43.407	12.602	8.7
38.149	15.123	14.2
43.334	12.548	8.9
41.667	13.614	7.5
42.759	13.208	8.7
43.252	12.634	9.7
42.792	12.941	9.7
43.344	12.578	9.5
43.444	12.435	9.5
43.232	13.089	14.3
46.346	12.9	6.3
43.3	12.538	9.6
43.3	12.542	9.8
40.641	15.704	9
41.622	15.355	6.5
45.612	10.324	8.6
43.826	8.163	10.7
43.541	12.574	9.9
37.716	15.116	11.1
43.305	12.548	6.7
43.112	13.515	25.2
43.135	11.046	8.4
38.37	15.445	117.2
44.012	11.086	10
43.362	12.612	4.9
43.449	12.742	14.1
43.443	12.437	8.7
44.294	7.334	15
43.066	12.986	14.4
43.476	12.543	10
43.129	12.984	10.8
43.396	12.501	7.7
43.133	12.986	10.6
